date,cases,active,death
2020-02-25,2,,
2020-02-26,4,,
2020-02-27,5,,
2020-02-28,6,,
2020-02-29,6,,
2020-03-01,6,,
2020-03-02,6,,
2020-03-03,7,,
2020-03-04,10,,
2020-03-05,15,,
2020-03-06,16,,
2020-03-07,16,,
2020-03-08,16,,
2020-03-09,17,,
2020-03-10,18,,
2020-03-11,18,,
2020-03-12,18,,
2020-03-13,19,,
2020-03-14,20,,
2020-03-15,20,,
2020-03-16,22,,
2020-03-17,24,,
2020-03-18,30,,
2020-03-19,39,,
2020-03-20,43,,
2020-03-21,48,,
2020-03-22,52,,
2020-03-23,55,,
2020-03-24,66,,
2020-03-25,84,,
2020-03-26,99,,
2020-03-27,109,,
2020-03-28,131,,
2020-03-29,152,,
2020-03-30,167,,
2020-03-31,179,,
2020-04-01,192,,
2020-04-02,210,,
2020-04-03,231,,
2020-04-04,252,,
2020-04-05,277,,
2020-04-06,298,,
2020-04-07,371,,
2020-04-08,419,,
2020-04-09,437,,
2020-04-10,457,,
2020-04-11,484,,
2020-04-12,546,,
2020-04-13,599,,
2020-04-14,813,,
2020-04-15,910,,
2020-04-16,962,,
2020-04-17,1019,,
2020-04-18,1069,,
2020-04-19,1180,,
2020-04-20,1266,,
2020-04-21,1508,,
2020-04-22,1560,,
2020-04-23,1614,,
2020-04-24,1716,,
2020-04-25,1790,,
2020-04-26,1905,,
2020-04-27,1998,,
2020-04-28,2049,,
2020-04-29,2131,,
2020-04-30,2274,,
2020-05-01,2348,,
2020-05-02,2447,,
2020-05-03,2483,,
2020-05-04,2568,,
2020-05-05,2637,,
2020-05-06,2735,,
2020-05-07,2903,,
2020-05-08,2958,,
2020-05-09,3112,,
2020-05-10,3224,,
2020-05-11,3399,,
2020-05-12,3574,,
2020-05-13,3721,,
2020-05-14,4019,,
2020-05-15,4341,,
2020-05-16,4625,,
2020-05-17,5029,,
2020-05-18,5186,,
2020-05-19,5379,,
2020-05-20,5671,,
2020-05-21,6043,,
2020-05-22,6370,,
2020-05-23,6794,,
2020-05-24,7257,,
2020-05-25,7770,,
2020-05-26,7942,,
2020-05-27,8118,,
2020-05-28,8373,,
2020-05-29,9009,,
2020-05-30,9820,,
2020-05-31,10423,,
2020-06-01,11437,,
2020-06-02,12223,,
2020-06-03,12799,,
2020-06-04,13537,,
2020-06-05,14316,,
2020-06-06,15086,,
2020-06-07,16016,,
2020-06-08,16882,,
2020-06-09,17486,,
2020-06-10,18198,,
2020-06-11,18887,,
2020-06-12,19954,,
2020-06-13,21071,,
2020-06-14,22077,,
2020-06-15,23481,,
2020-06-16,24524,,
2020-06-17,25269,,
2020-06-18,26079,,
2020-06-19,26818,,
2020-06-20,27670,,
2020-06-21,28566,,
2020-06-22,29471,,
2020-06-23,31076,,
2020-06-24,32394,,
2020-06-25,33536,,
2020-06-26,34902,,
2020-06-27,36034,,
2020-06-28,36953,,
2020-06-29,38150,,
2020-06-30,39060,,
2020-07-01,40070,,
2020-07-02,41194,,
2020-07-03,42555,,
2020-07-04,43929,,
2020-07-05,45106,,
2020-07-06,46178,,
2020-07-07,47735,,
2020-07-08,48997,,
2020-07-09,50207,,
2020-07-10,51725,,
2020-07-11,53614,,
2020-07-12,54697,,
2020-07-13,56015,,
2020-07-14,58179,,
2020-07-15,59568,,
2020-07-16,61247,,
2020-07-17,62574,,
2020-07-18,64193,,
2020-07-19,65504,,
2020-07-20,66661,,
2020-07-21,68400,,
2020-07-22,69887,,
2020-07-23,71547,,
2020-07-24,72646,,
2020-07-25,73791,,
2020-07-26,74858,,
2020-07-27,76005,,
2020-07-28,77058,,
2020-07-29,77904,,
2020-07-30,78569,,
2020-07-31,79159,,
2020-08-01,79345,,
2020-08-02,79532,,
2020-08-03,79720,,
