date,cases,active,death
2020-03-04,1.00,0
2020-03-05,1.01,0
2020-03-06,5,0
2020-03-07,6,0
2020-03-08,11,0
2020-03-09,17,0
2020-03-10,22,0
2020-03-11,31,0
2020-03-12,51,0
2020-03-13,68,0
2020-03-14,104,0
2020-03-15,125,0
2020-03-16,177,0
2020-03-17,238,0
2020-03-18,287,0
2020-03-19,355,0
2020-03-20,425,0
2020-03-21,536,0
2020-03-22,634,0
2020-03-23,749,0
2020-03-24,901,0
2020-03-25,1051,0
2020-03-26,1221,0
2020-03-27,1389,1366
2020-03-28,1717,1691
2020-03-29,1862,1833
2020-03-30,2132,2094
2020-03-31,2311,2271
2020-04-01,2554,2455
2020-04-02,2946,2833
2020-04-03,3383,3256
2020-04-04,3627,3432
2020-04-05,4102,3874
2020-04-06,4413,4144
2020-04-07,4848,4528
2020-04-08,5205,4824
2020-04-09,5575,5117
2020-04-10,5955,5456
2020-04-11,6356,5773
2020-04-12,6674,6003
2020-04-13,6934,6202
2020-04-14,7202,6321
2020-04-15,7582,6628,286.0
2020-04-16,7918,6830,314.0
2020-04-17,8379,7181,332.0
2020-04-18,8742,7414,347.0
2020-04-19,9287,7887,360.0
2020-04-20,9593,8080,380.0
2020-04-21,9856,8158,401.0
2020-04-22,10169,8230,426.0
2020-04-23,10511,8317,454.0
2020-04-24,10892,8272,494.0
2020-04-25,11273,8623,524.0
2020-04-26,11617,8817,535.0
2020-04-27,11902,8874,562.0
2020-04-28,12218,8967,596.0
2020-04-29,12640,8991,624.0
2020-04-30,12877,8997,644.0
2020-05-01,13105,8963,651.0
2020-05-02,13375,8949,664.0
2020-05-03,13693,9070,678.0
2020-05-04,14006,9213,698.0
2020-05-05,14431,9435,716.0
2020-05-06,14740,9352,733.0
2020-05-07,15047,9430,755.0
2020-05-08,15366,9406,776.0
2020-05-09,15651,9429,785.0
2020-05-10,15996,9498,800.0
2020-05-11,16326,9699,811.0
2020-05-12,16921,9951,839.0
2020-05-13,17204,9933,861.0
2020-05-14,17615,10036,883.0
