date,cases,active,death
2020-02-27,2,1,0
2020-02-28,2.1,1,0
2020-02-29,4,1,0
2020-03-01,4.1,2,0
2020-03-02,4.2,3,0
2020-03-03,5,3,0
2020-03-04,5.1,4,0
2020-03-05,5.2,4,0
2020-03-06,6,5,0
2020-03-07,6.1,5,0
2020-03-08,7,5,0
2020-03-09,16,6,0
2020-03-10,19,8,0
2020-03-11,20,10,0
2020-03-12,21,13,0
2020-03-13,28,15,0
2020-03-14,33,19,0
2020-03-15,53,25,0
2020-03-16,184,49,0
2020-03-17,247,82,0
2020-03-18,307,121,2
2020-03-19,454,181,2.1
2020-03-20,501,246,3
2020-03-21,645,333,3.1
2020-03-22,776,433,5
2020-03-23,875,530,6
2020-03-24,972,629,7
2020-03-25,1063,735,8
2020-03-26,1201,840,9
2020-03-27,1373,962,11
2020-03-28,1495,1080,12
2020-03-29,1597,1193,14
2020-03-30,1717,1302,21
2020-03-31,1938,1430,26
2020-04-01,2118,1567,27
2020-04-02,2421,1722,34
2020-04-03,2686,1892,40
2020-04-04,2818,2062,41
2020-04-05,3157,2254,47
2020-04-06,3766,2517,53
2020-04-07,4035,2761,57
2020-04-08,4263,3009,61
2020-04-09,4489,3236,65
2020-04-10,4695,3434,66
2020-04-11,5011,3650,86
2020-04-12,5230,3824,91
2020-04-13,5496,3946,93
2020-04-14,5837,4062,96
2020-04-15,6383,4218,111
2020-04-16,6919,4403,128
2020-04-17,7025,4577,135
2020-04-18,7638,4791,143
2020-04-19,8348,5106,168
2020-04-20,8892,5454,176
2020-04-21,9565,5872,201
2020-04-22,10076,6285,212
2020-04-23,11057,6762,235
2020-04-24,11940,7305,253
2020-04-25,12723,7867,269
2020-04-26,13328,8409,281
2020-04-27,13915,8959,292
2020-04-28,14612,9498,312
2020-04-29,15525,10076,343
2020-04-30,16473,10579,361
2020-05-01,18092,11207,417
2020-05-02,19022,11813,437
2020-05-03,20084,12443,457
2020-05-04,20941,13047,476
2020-05-05,22049,13714,514
2020-05-06,23214,16389,544
2020-05-07,24644,17959,585
2020-05-08,26435,18306,599
2020-05-09,28736,20291,636
2020-05-10,30334,21612,659
2020-05-11,30941,22062,667
2020-05-12,32674,23395,724
2020-05-13,35298,25638,761
