date,cases,active,death
2020-03-07,1
2020-03-08,7
2020-03-09,9
2020-03-10,11
2020-03-11,17
2020-03-12,22
2020-03-13,38
2020-03-14,43
2020-03-15,71
2020-03-16,86
2020-03-17,117
2020-03-18,145
2020-03-19,234
2020-03-20,263
2020-03-21,318
2020-03-22,363
2020-03-23,395
2020-03-24,416
2020-03-25,558
2020-03-26,580
2020-03-27,635
2020-03-28,671
2020-03-29,852
2020-03-30,950
2020-03-31,1065
2020-04-01,1323
2020-04-02,1414
2020-04-03,1595
2020-04-04,1746,0
2020-04-05,2281,1209
2020-04-06,2561,1472
2020-04-07,2954,1546
2020-04-08,4342,2888
2020-04-09,5256,3680
2020-04-10,5897,4159
2020-04-11,6848,4928
2020-04-12,7519,5528
2020-04-13,9784,6926
2020-04-14,10303,7204
2020-04-15,11475,8113,254.0
2020-04-16,12491,6097,274.0
2020-04-17,13489,6648,300.0
2020-04-18,14420,7388,348.0
2020-04-19,15628,8417,400.0
2020-04-20,16325,8912,445.0
2020-04-21,17837,10371,484.0
2020-04-22,19250,11693,530.0
2020-04-23,20914,12920,572.0
2020-04-24,21648,13518,634.0
2020-04-25,25331,16834,700.0
2020-04-26,27517,18701,728.0
2020-04-27,28699,19492,782.0
2020-04-28,31190,21157,854.0
2020-04-29,33931,22951,943.0
2020-04-30,36976,25520,1051.0
2020-05-01,40459,28206,1124.0
2020-05-02,42534,28900,1200.0
2020-05-03,45928,31092,1286.0
2020-05-04,47372,31601,1344.0
2020-05-05,51189,34332,1444.0
2020-05-06,54817,35757,1533.0
2020-05-07,58526,38511,1627.0
2020-05-08,61847,41121,1714.0
2020-05-09,65015,42955,1814.0
2020-05-10,67307,44069,1889.0
2020-05-11,68822,44455,1961.0
2020-05-12,72059,46678,2057.0
2020-05-13,76306,49813,2169.0
2020-05-14,80604,53186,2267.0
2020-05-15,84495,54956,2392.0
2020-05-16,88541,57746,2523.0
2020-05-17,92273,61004,2648.0
2020-05-18,94933,61838,2789.0
2020-05-19,99483,60045,2914.0
2020-05-20,104020,59028,3024.0
2020-05-21,108769,62034,3148.0
2020-05-22,111698,63606,3244.0
2020-05-23,115754,64466,3373.0
2020-05-24,119959,66708,3456.0
2020-05-25,123979,69401,3629.0
2020-05-26,129751,73057,3788.0
2020-05-27,135905,75753,3983.0
2020-05-28,141779,78238,4099.0
2020-05-29,148285,81264,4230.0
2020-05-30,155671,84853,4371.0
2020-05-31,164476,92762,4506.0
2020-06-01,170039,96898,4634.0
2020-06-02,174884,100860,4767.0
2020-06-03,178914,101701,4894.0
2020-06-04,183198,101939,5031.0
2020-06-05,187400,103024,5162.0
2020-06-06,191758,103726,5301.0
2020-06-07,196515,104831,5465.0
2020-06-08,199696,104569,5571.0
2020-06-09,203736,105069,5738.0
2020-06-10,208823,104889,5903.0
2020-06-11,214788,106250,6109.0
2020-06-12,220749,107308,6308.0
2020-06-13,225132,106910,6498.0
2020-06-14,229736,107469,6688.0
2020-06-15,232992,106723,6860.0
2020-06-16,237156,104895,7056.0
2020-06-17,240908,105029,7257.0
2020-06-18,244388,105737,7461.0
2020-06-19,247925,104745,7660.0
2020-06-20,251338,104714,7861.0
2020-06-21,254936,104924,8045.0
2020-06-22,257447,103904,8223.0
2020-06-23,260810,103969,8404.0
2020-06-24,264689,104514,8586.0
2020-06-25,268602,103767,8761.0
2020-06-26,272364,103619,8939.0
2020-06-27,275989,102830,9135.0
2020-06-28,279419,102104,9317.0
2020-06-29,282365,101702,9504.0
2020-06-30,285213,101001,9677.0
2020-07-01,288477,100372,9860.0
2020-07-02,292004,99862,10045.0
2020-07-03,295599,99521,10226.0
2020-07-04,299080,99047,10412.0
2020-07-05,302718,98172,10589.0
2020-07-06,305703,97312,10772.0
2020-07-07,309278,97388,10952.0
2020-07-08,312911,97030,11133.0
2020-07-09,316448,97332,11314.0
2020-07-10,319646,97508,11500.0
2020-07-11,322710,96876,11682.0
2020-07-12,326326,97345,11870.0
2020-07-13,330123,97061,12054.0
2020-07-14,333867,98377,12229.0
2020-07-15,337724,98907,12417.0
2020-07-16,341586,97977,12615.0
2020-07-17,345537,98756,12799.0
2020-07-18,349500,98416,12998.0
2020-07-19,353590,98448,13187.0
2020-07-20,357681,99216,13384.0
2020-07-21,362087,99762,13579.0
2020-07-22,366550,96849,17455.0
2020-07-23,371096,97497,17654.0
2020-07-24,375961,98695,17843.0
2020-07-25,379884,98724,18030.0
2020-07-26,384797,98718,18229.0
2020-07-27,389717,98752,18418.0
2020-07-28,395005,99941,18612.0
2020-07-29,400683,101823,18816.0
