date,cases,active,death
2020-02-29,2,0,0
2020-03-01,2.01,0,0
2020-03-02,3,0,0
2020-03-03,3.01,0,0
2020-03-04,3.02,0,0
2020-03-05,4,0,0
2020-03-06,13,0,0
2020-03-07,14,0,0
2020-03-08,16,0,0
2020-03-09,17,0,0
2020-03-10,20,0,0
2020-03-11,21,0,0
2020-03-12,28,0,0
2020-03-13,45,0,0
2020-03-14,59,0,0
2020-03-15,63,0,0
2020-03-16,90,0,0
2020-03-17,114,0,0
2020-03-18,147,0,0
2020-03-19,199,0,1
2020-03-20,253,0,1.001
2020-03-21,306,0,1.002
2020-03-22,367,0,1.003
2020-03-23,438,0,1.004
2020-03-24,495,0,1.005
2020-03-25,658,0,3
2020-03-26,840,0,3.001
2020-03-27,1000,987,4
2020-03-28,1264,1211,4.001
2020-03-29,1534,1462,8
2020-03-30,1836,1761,9
2020-03-31,2337,2199,17
2020-04-01,2777,2563,24
2020-04-02,3548,3283,30
2020-04-03,4149,3834,34
2020-04-04,4731,4355,43
2020-04-05,5389,4989,45
2020-04-06,6343,5890,47
2020-04-07,7497,6945,58
2020-04-08,8672,8029,63
2020-04-09,10131,9357,76
2020-04-10,11917,11028,94
2020-04-11,13584,12433,106
2020-04-12,15770,14349,130
2020-04-13,18328,16710,148
2020-04-14,21102,19238,170
2020-04-15,24490,22306,198.0
2020-04-16,27938,25402,232.0
2020-04-17,32008,29145,273.0
2020-04-18,36793,33423,313.0
2020-04-19,42853,39201,361.0
2020-04-20,47121,43270,405.0
2020-04-21,52763,48434,456.0
2020-04-22,57999,53066,513.0
2020-04-23,62773,57327,555.0
2020-04-24,68622,62439,615.0
2020-04-25,74588,67657,681.0
2020-04-26,80949,73435,747.0
2020-04-27,87147,79007,794.0
2020-04-28,93558,84235,867.0
2020-04-29,99399,88141,972.0
2020-04-30,106498,93806,1073.0
2020-05-01,114431,100042,1169.0
2020-05-02,124054,107819,1222.0
2020-05-03,134687,116768,1280.0
2020-05-04,145268,125817,1356.0
2020-05-05,155370,134054,1451.0
2020-05-06,165929,143065,1537.0
