date,cases,active,death
2020-03-07,1
2020-03-11,5
2020-03-12,18
2020-03-13,24
2020-03-14,41
2020-03-15,46
2020-03-16,55
2020-03-17,57
2020-03-18,72
2020-03-19,94
2020-03-20,126
2020-03-21,135
2020-03-22,149
2020-03-23,188
2020-03-24,222
2020-03-25,249
2020-03-26,303
2020-03-27,384
2020-03-28,457
2020-03-29,659
2020-03-30,741
2020-03-31,900
2020-04-01,1060
2020-04-02,1171
2020-04-03,1476
2020-04-04,1624,0
2020-04-05,1908,1803
2020-04-06,2200,2024
2020-04-07,2447,2268
2020-04-08,2666,2483
2020-04-09,2867,2683
2020-04-10,3105,2916
2020-04-11,3380,3188
2020-04-12,3630,3150
2020-04-13,4054,3569
2020-04-14,4465,3971
2020-04-15,4873,4374,99.0
2020-04-16,5318,4772,103.0
2020-04-17,5690,5046,110.0
2020-04-18,5994,5240,117.0
2020-04-19,6318,5443,122.0
2020-04-20,6630,5635,125.0
2020-04-21,6890,5783,130.0
2020-04-22,7114,5955,134.0
2020-04-23,7276,6074,139.0
2020-04-24,7483,6245,144.0
2020-04-25,7779,6476,151.0
2020-04-26,8042,6704,156.0
2020-04-27,8275,6904,162.0
2020-04-28,8497,7069,168.0
2020-04-29,8724,7259,173.0
2020-04-30,9009,7487,179.0
2020-05-01,9205,7641,185.0
2020-05-02,9362,7747,189.0
2020-05-03,9464,7720,193.0
2020-05-04,9557,7786,197.0
2020-05-05,9677,7754,200.0
2020-05-06,9791,7617,203.0
2020-05-07,9848,7482,206.0
2020-05-08,9943,7281,209.0
2020-05-09,10032,7087,213.0
2020-05-10,10114,6893,215.0
2020-05-11,10176,6668,218.0
2020-05-12,10243,6423,220.0
2020-05-13,10295,6249,222.0
2020-05-14,10374,6066,224.0
2020-05-15,10438,5912,225.0
2020-05-16,10496,5789,228.0
2020-05-17,10610,5667,230.0
2020-05-18,10699,5669,231.0
2020-05-19,10733,5595,234.0
2020-05-20,10833,5531,235.0
2020-05-21,10919,5312,237.0
2020-05-22,11024,5246,237.0
2020-05-23,11092,5155,238.0
2020-05-24,11159,5064,238.0
2020-05-25,11193,5034,239.0
2020-05-26,11227,4921,239.0
2020-05-27,11275,4758,240.0
2020-05-28,11300,4621,241.0
2020-05-29,11354,4588,242.0
2020-05-30,11381,4533,242.0
2020-05-31,11412,4471,243.0
2020-06-01,11430,4460,244.0
2020-06-02,11454,4443,245.0
2020-06-03,11523,4426,245.0
2020-06-04,11571,4415,246.0
2020-06-05,11667,4489,247.0
2020-06-06,11741,437,248.0
2020-06-07,11823,226,249.0
2020-06-08,11896,298,250.0
2020-06-09,11965,367,250.0
2020-06-10,12031,432,251.0
2020-06-11,12102,502,252.0
2020-06-12,12175,575,252.0
2020-06-13,12251,650,253.0
2020-06-14,12310,545,254.0
2020-06-15,12367,601,255.0
2020-06-16,12426,659,256.0
2020-06-17,12522,754,257.0
2020-06-18,12616,847,258.0
2020-06-19,12709,939,259.0
2020-06-20,12803,1032,260.0
2020-06-21,12894,686,261.0
2020-06-22,12990,731,262.0
2020-06-23,13092,775,263.0
2020-06-24,13235,861,263.0
2020-06-25,13372,954,264.0
2020-06-26,13565,1068,265.0
2020-06-27,13792,1187,267.0
2020-06-28,14046,1312,270.0
2020-06-29,14288,1433,274.0
2020-06-30,14564,1625,277.0
2020-07-01,14836,1783,281.0
2020-07-02,15195,1996,287.0
2020-07-03,15504,2142,298.0
2020-07-04,15829,2459,306.0
2020-07-05,16131,2756,311.0
2020-07-06,16420,2737,317.0
