date,cases,active,death
2020-02-15,293,0,0
2020-02-16,321,0,0
2020-02-17,359,0,0
2020-02-18,388,0,0
2020-02-19,411,0,0
2020-02-20,476,0,0
2020-02-21,542,0,0
2020-02-22,603,0,0
2020-02-23,678,0,0
2020-02-24,796,0,0
2020-02-25,944,4,0
2020-02-26,1116,11,0
2020-02-27,1319,13,0
2020-02-28,1664,30,0
2020-02-29,1926,43,0
2020-03-01,2653,82,0
2020-03-02,3497,118,0
2020-03-03,4326,162,1
2020-03-04,5318,218,2
2020-03-05,6646,254,3
2020-03-06,8344,393,8
2020-03-07,10240,460,10
2020-03-08,13032,626,17
2020-03-09,16030,1013,30
2020-03-10,20840,1628,36
2020-03-11,25790,2040,55
2020-03-12,31988,2039,86
2020-03-13,40146,4906,133
2020-03-14,47883,5679,196
2020-03-15,56189,6992,294
2020-03-16,66176,9070,342
2020-03-17,75354,10187,533
2020-03-18,84675,12206,638
2020-03-19,93678,16026,831
2020-03-20,104844,17779,1093
2020-03-21,112579,21874,1381
2020-03-22,119687,24421,1772
2020-03-23,128397,30250,2311
2020-03-24,135924,33283,2991
2020-03-25,143286,40501,3647
2020-03-26,149889,46406,4365
2020-03-27,156228,51224,5136
2020-03-28,161819,54968,5982
2020-03-29,166260,58598,6803
2020-03-30,171763,63460,7716
2020-03-31,176399,68200,8464
2020-04-01,182248,72084,9387
2020-04-02,186987,74974,10348
2020-04-03,191720,77488,11198
2020-04-04,195775,80002,11947
2020-04-05,199385,80925,12641
2020-04-06,203312,82897,13341
2020-04-07,206996,84689,14045
2020-04-08,210978,85407,14792
2020-04-09,214807,85610,15447
2020-04-10,218587,86524,16081
2020-04-11,221810,87312,16606
2020-04-12,224345,87231,17209
2020-04-13,227061,87616,17756
2020-04-14,229905,86981,18255
2020-04-15,232796,88083,18812
2020-04-16,235431,90836,19315
2020-04-17,237738,96040,20002
2020-04-18,239813,96886,20639
2020-04-19,241163,100864,21049
2020-04-20,242816,98771,21448
2020-04-21,244769,100382,21878
2020-04-22,246815,100757,22313
2020-04-23,248605,101617,22753
2020-04-24,250392,88111,23120
2020-04-25,251359,87295,23487
2020-04-26,252064,86072,23867
2020-04-27,252970,85069,24198
2020-04-28,254434,84403,23822
2020-04-29,255784,79695,24275
2020-04-30,257095,76842,24543
2020-05-01,258419,78623,24824
2020-05-02,259036,74234,25100
2020-05-03,260260,73300,25264
2020-05-04,260866,71240,25428
2020-05-05,261414,70230,25613
2020-05-06,261787,68466,25857
2020-05-07,262174,66866,26070
2020-05-08,262526,65410,26299
2020-05-09,262809,63148,26478
2020-05-10,263058,61563,26621
2020-05-11,263559,63553,26744
2020-05-12,264086,62130,26920
2020-05-13,264652,60764,27104
2020-05-14,265179,58845,27321
2020-05-15,265718,57941,27459
2020-05-16,266044,56689,27563
2020-05-17,266298,56689,27650
2020-05-18,266799,53521,27709
2020-05-19,267349,53883,27778
2020-05-20,267799,54291,27888
2020-05-21,268263,54721,27940
2020-05-22,268805,55820,28628
2020-05-23,269102,56236,28678
2020-05-24,269352,56644,28752
2020-05-25,269853,58190,26837
2020-05-26,270370,58766,27117.0
2020-05-27,270757,58766,27118.0
2020-05-28,271246,60411,27119.0
2020-05-29,271706,61067,27121.0
2020-05-30,271981,61727,27125.0
2020-05-31,272171,61976,27127.0
2020-06-01,272535,62135,27127.0
2020-06-02,272894,62429,27127.0
2020-06-03,273305,62822,27128.0
2020-06-04,273656,63151,27133.0
2020-06-05,274083,63468,27134.0
2020-06-06,274285,63799,27135.0
2020-06-07,274461,64038,27136.0
2020-06-08,274796,64205,27136.0
2020-06-09,275092,64454,27136.0
2020-06-10,275390,64768,27136.0
2020-06-11,275649,65195,27136.0
2020-06-12,275974,65697,27136.0
2020-06-13,276088,66093,27136.0
2020-06-14,276212,66416,27136.0
2020-06-15,276511,66597,27136.0
2020-06-16,276784,66816,27136.0
2020-06-17,277079,67171,27136.0
2020-06-18,277383,67756,27136.0
2020-06-19,277651,66884,28315.0
2020-06-20,277898,67240,28322.0
2020-06-21,278128,67573,28323.0
2020-06-22,278430,67804,28324.0
2020-06-23,278785,68051,28325.0
2020-06-24,279171,68383,28327.0
2020-06-25,279526,68780,28330.0
2020-06-26,279910,69191,28338.0
2020-06-27,280218,69752,28341.0
2020-06-28,280456,70051,28343.0
2020-06-29,280836,70248,28346.0
2020-06-30,281267,70540,28355.0
2020-07-01,281803,70919,28363.0
2020-07-02,282215,71359,28368.0
2020-07-03,282750,71784,28385.0
2020-07-04,283186,71784,28385.0
2020-07-05,283609,71784,28385.0
2020-07-06,284290,73025,28388.0
2020-07-07,285058,73362,28392.0
2020-07-08,285932,73741,28396.0
2020-07-09,286836,74279,28401.0
2020-07-10,287963,75129,28403.0
2020-07-11,288849,75129,28403.0
2020-07-12,289692,75129,28403.0
2020-07-13,291061,77171,28406.0
2020-07-14,292553,77834,28409.0
2020-07-15,294374,78705,28413.0
2020-07-16,296051,80063,28416.0
2020-07-17,298121,81459,28420.0
2020-07-18,299946,81459,28420.0
2020-07-19,301524,81459,28420.0
2020-07-20,303838,86038,28422.0
2020-07-21,306200,87394,28424.0
2020-07-22,308591,88749,28426.0
2020-07-23,310846,91361,28429.0
2020-07-24,313412,93613,28432.0
