date,cases,active,death,tests
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,1,1,0,0
2020-02-02,1,1,0,0
2020-02-03,1,1,0,0
2020-02-04,1,1,0,0
2020-02-05,1,1,0,0
2020-02-06,1,1,0,0
2020-02-07,1,1,0,0
2020-02-08,1,1,0,0
2020-02-09,2,2,0,0
2020-02-10,2,2,0,0
2020-02-11,2,2,0,0
2020-02-12,2,2,0,0
2020-02-13,2,2,0,0
2020-02-14,2,2,0,0
2020-02-15,2,0,0,0
2020-02-16,2,0,0,0
2020-02-17,2,0,0,0
2020-02-18,2,0,0,0
2020-02-19,2,0,0,0
2020-02-20,2,0,0,0
2020-02-21,2,0,0,0
2020-02-22,2,0,0,0
2020-02-23,2,0,0,0
2020-02-24,2,0,0,0
2020-02-25,6,4,0,0
2020-02-26,13,11,0,0
2020-02-27,15,13,0,0
2020-02-28,32,30,0,0
2020-02-29,45,43,0,0
2020-03-01,84,82,0,0
2020-03-02,120,118,0,0
2020-03-03,165,163,1,0
2020-03-04,222,220,2,0
2020-03-05,259,257,3,0
2020-03-06,400,398,5,0
2020-03-07,500,470,10,0
2020-03-08,673,643,17,0
2020-03-09,1073,1041,28,0
2020-03-10,1695,1663,35,0
2020-03-11,2277,2094,54,0
2020-03-12,2277,2094,55,0
2020-03-13,5232,5039,133,0
2020-03-14,6391,5874,195,0
2020-03-15,7798,7281,289,0
2020-03-16,9942,9412,342,0
2020-03-17,11748,10720,533,0
2020-03-18,13910,12829,623,0
2020-03-19,17963,16856,830,0
2020-03-20,20410,18822,1043,0
2020-03-21,25374,23249,1375,0
2020-03-22,28768,26193,1772,0
2020-03-23,35136,32561,2311,0
2020-03-24,39885,36091,2808,0
2020-03-25,49515,44148,3647,0
2020-03-26,57786,50771,4365,0
2020-03-27,65719,56362,5138,0
2020-03-28,73235,60950,5982,0
2020-03-29,80110,65401,6803,0
2020-03-30,87956,71176,7716,0
2020-03-31,95923,76664,8464,0
2020-04-01,104118,81471,9387,0
2020-04-02,112065,85322,10348,0
2020-04-03,119199,88686,11198,0
2020-04-04,126168,91949,11947,0
2020-04-05,131646,93566,12641,0
2020-04-06,136675,96238,13341,0
2020-04-07,141942,98734,14045,0
2020-04-08,148220,100199,14792,0
2020-04-09,153222,101057,15447,0
2020-04-10,158273,102605,16081,0
2020-04-11,163027,103918,16606,0
2020-04-12,166831,104440,17209,0
2020-04-13,170099,105372,17756,930230
2020-04-14,172541,105037,18056,930230
2020-04-15,177644,106791,18708,930230
2020-04-16,184948,110151,19315,930230
2020-04-17,190839,116042,20002,930230
2020-04-18,191726,116929,20043,930230
2020-04-19,198674,121317,20453,930230
2020-04-20,200210,119623,20852,930230
2020-04-21,204178,121664,21282,930230
2020-04-22,208389,122474,21717,930230
2020-04-23,213024,123774,22157,1035522
2020-04-24,202990,110635,22524,1035522
2020-04-25,205905,110197,22902,1035522
2020-04-26,207634,109262,23190,1035522
2020-04-27,209465,108590,23521,1035522
2020-04-28,210773,108225,23822,1035522
2020-04-29,212917,103970,24275,1035522
2020-04-30,213435,101385,24543,1351130
2020-05-01,215216,103166,24543,1351130
2020-05-02,216582,99334,25100,1351130
2020-05-03,217466,98564,25264,1351130
2020-05-04,218011,96668,25428,1351130
2020-05-05,219329,95843,25613,1351130
2020-05-06,220325,94323,25857,1351130
2020-05-07,221447,92936,26070,1625211
2020-05-08,222857,91709,26299,1625211
2020-05-09,223578,89626,26478,1625211
2020-05-10,224350,88184,26621,1625211
2020-05-11,227436,90297,26744,1625211
2020-05-12,228030,89050,26920,1625211
2020-05-13,228691,87868,27104,1625211
2020-05-14,229540,86166,27321,1919411
2020-05-15,230183,85400,27459,1919411
2020-05-16,230698,84252,27563,1919411
2020-05-17,230698,84252,27563,1919411
2020-05-18,231606,81230,27709,1919411
2020-05-19,232037,81661,27778,1919411
2020-05-20,232555,82179,27888,1919411
2020-05-21,233037,82661,27940,2221497
2020-05-22,234824,84448,28628,2221497
2020-05-23,235290,84914,28678,2221497
2020-05-24,235772,85396,28752,2221497
2020-05-25,235400,85024,26834,2221497
2020-05-26,236259,85883,27117,2221497
2020-05-27,236259,85883,27117,2221497
2020-05-28,237906,87530,27119,2536234
2020-05-29,238564,88188,27121,2536234
2020-05-30,239228,88852,27125,2536234
2020-05-31,239479,89103,27127,2536234
2020-06-01,239638,89262,27127,2536234
2020-06-02,239932,89556,27127,2536234
2020-06-03,240326,89950,27128,2536234
2020-06-04,240660,90284,27133,2822880
2020-06-05,240978,90602,27134,2822880
2020-06-06,241310,90934,27135,2822880
2020-06-07,241550,91174,27136,2822880
2020-06-08,241717,91341,27136,2822880
2020-06-09,241966,91590,27136,2822880
2020-06-10,242280,91904,27136,2822880
2020-06-11,242707,92331,27136,3061738
2020-06-12,243209,92833,27136,3061738
2020-06-13,243605,93229,27136,3061738
2020-06-14,243928,93552,27136,3061738
2020-06-15,244109,93733,27136,3061738
2020-06-16,244328,93952,27136,3061738
2020-06-17,244683,94307,27136,3061738
2020-06-18,245268,94892,27136,3290388
2020-06-19,245575,95199,28315,3290388
2020-06-20,245938,95562,28322,3290388
2020-06-21,246272,95896,28323,3290388
2020-06-22,246504,96128,28324,3290388
2020-06-23,246752,96376,28325,3290388
2020-06-24,247086,96710,28327,3290388
2020-06-25,247486,97110,28330,3470130
2020-06-26,247905,97529,28338,3470130
2020-06-27,248469,98093,28341,3470130
2020-06-28,248770,98394,28343,3470130
2020-06-29,248970,98594,28346,3470130
2020-06-30,249271,98895,28355,3470130
2020-07-01,249659,99283,28364,3470130
2020-07-02,250103,99727,28368,3644458
2020-07-03,250545,100169,28385,3644458
2020-07-04,250545,100169,28385,3644458
2020-07-05,250545,100169,28385,3644458
2020-07-06,251789,101413,28388,3644458
2020-07-07,252130,101754,28392,3644458
2020-07-08,252513,102137,28396,3644458
2020-07-09,253056,102680,28401,3849701
2020-07-10,253908,103532,28403,3849701
2020-07-11,253908,103532,28403,3849701
2020-07-12,253908,103532,28403,3849701
2020-07-13,255953,105577,28406,3849701
2020-07-14,256619,106243,28409,3849701
2020-07-15,257494,107118,28413,3849701
2020-07-16,258855,108479,28416,4073664
2020-07-17,260255,109879,28420,4073664
2020-07-18,260255,109879,28420,4073664
2020-07-19,260255,109879,28420,4073664
2020-07-20,264836,114460,28422,4073664
2020-07-21,266194,115818,28424,4073664
2020-07-22,267551,117175,28426,4073664
2020-07-23,270166,119790,28429,4347022
2020-07-24,272421,122045,28432,4347022
2020-07-25,272421,122045,28432,4347022
2020-07-26,272421,122045,28432,4347022
2020-07-27,278782,128406,28434,4347022
2020-07-28,280610,130234,28436,4347022
2020-07-29,282641,132265,28441,4347022
2020-07-30,285430,135054,28443,4652493
2020-07-31,288522,138146,28445,4652493
2020-08-01,288522,138146,28445,4652493
2020-08-02,288522,138146,28445,4652493
2020-08-03,297054,146678,28472,4652493
2020-08-04,302814,152438,28498,4652493
2020-08-05,305767,155391,28499,4652493
2020-08-06,309855,159479,28500,4983935
2020-08-07,314362,163986,28503,4983935
2020-08-08,314362,163986,28503,4983935
2020-08-09,314362,163986,28503,4983935
2020-08-10,322980,172604,28576,4983935
2020-08-11,326612,176236,28581,4983935
2020-08-12,329784,179408,28579,4983935
2020-08-13,337334,186958,28605,5367311
2020-08-14,342813,192437,28617,5367311
2020-08-15,342813,192437,28617,5367311
2020-08-16,342813,192437,28617,5367311
2020-08-17,359082,208706,28646,5367311
2020-08-18,364196,213820,28670,5367311
2020-08-19,370867,220491,28797,5367311
2020-08-20,377906,227530,28813,5849939
2020-08-21,386054,235678,28838,5849939
2020-08-22,386054,235678,28838,5849939
2020-08-23,386054,235678,28838,5849939
2020-08-24,405436,255060,28872,5849939
2020-08-25,412553,262177,28924,5849939
2020-08-26,419849,269473,28971,5849939
2020-08-27,429507,279131,28996,6416533
2020-08-28,439286,288910,29011,6416533
2020-08-29,439286,288910,29011,6416533
2020-08-30,439286,288910,29011,6416533
2020-08-31,462858,312482,29094,6416533
2020-09-01,470973,320597,29152,6416533
2020-09-02,479554,329178,29194,6416533
2020-09-03,488513,338137,29234,7042795
2020-09-04,498989,348613,29418,7042795
2020-09-05,498989,348613,29418,7042795
2020-09-06,498989,348613,29418,7042795
2020-09-07,525549,375173,29516,7042795
2020-09-08,534513,384137,29594,7042795
2020-09-09,543379,393003,29628,7042795
2020-09-10,554143,403767,29699,7899400
2020-09-11,566326,415950,29747,7899400
2020-09-12,566326,415950,29747,7899400
2020-09-13,566326,415950,29747,7899400
2020-09-14,593730,443354,29848,7899400
2020-09-15,603167,452791,30004,7899400
2020-09-16,614360,463984,30243,7899400
2020-09-17,625651,475275,30405,8582722
2020-09-18,640040,489664,30495,8582722
2020-09-19,640040,489664,30495,8582722
