date,cases,active,death
2020-02-25,1,0,0
2020-02-26,2,0,0
2020-02-27,7,0,0
2020-02-28,11,0,0
2020-02-29,13,0,0
2020-03-01,14,0,0
2020-03-02,15,0,0
2020-03-03,30,0,0
2020-03-04,52,0,0
2020-03-05,94,0,0
2020-03-06,137,0,0
2020-03-07,161,0,0
2020-03-08,203,0,0
2020-03-09,260,0,0
2020-03-10,355,0,0
2020-03-11,500,0,1
2020-03-12,687,0,1
2020-03-13,814,0,1
2020-03-14,961,0,2
2020-03-15,1040,0,3
2020-03-16,1121,0,7
2020-03-17,1196,0,8
2020-03-18,1301,0,10
2020-03-19,1439,0,11
2020-03-20,1636,0,16
2020-03-21,1770,0,20
2020-03-22,1934,0,21
2020-03-23,2046,0,27
2020-03-24,2299,0,40
2020-03-25,2526,0,62
2020-03-26,2840,0,77
2020-03-27,3069,2948,105
2020-03-28,3447,3326,105
2020-03-29,3700,3574,110
2020-03-30,4028,3866,146
2020-03-31,4435,4239,180
2020-04-01,4947,4605,239
2020-04-02,5568,5157,308
2020-04-03,6131,5568,358
2020-04-04,6443,5865,373
2020-04-05,6830,6224,401
2020-04-06,7206,6524,477
2020-04-07,7693,6897,591
2020-04-08,8419,7527,687
2020-04-09,9141,8143,793
2020-04-10,9685,8434,870
2020-04-11,10151,8883,887
2020-04-12,10483,9203,899
2020-04-13,10948,9648,919
2020-04-14,11445,10031,1033
2020-04-15,11927,10343,1203.0
2020-04-16,12540,10657,1333.0
2020-04-17,13216,11266,1400.0
2020-04-18,13822,11761,1511.0
2020-04-19,14385,12295,1540.0
2020-04-20,14777,12647,1580.0
2020-04-21,15322,13007,1765.0
2020-04-22,16004,13517,1937.0
2020-04-23,16755,14184,2021.0
2020-04-24,17567,14410,2152.0
2020-04-25,18177,14980,2192.0
2020-04-26,18640,15441,2194.0
2020-04-27,18926,15647,2274.0
2020-04-28,19621,16261,2355.0
2020-04-29,20302,16835,2462.0
2020-04-30,21092,17501,2586.0
2020-05-01,21520,17862,2653.0
2020-05-02,22082,18408,2669.0
2020-05-03,22317,18633,2679.0
2020-05-04,22721,15878,2769.0
2020-05-05,23216,16288,2854.0
2020-05-06,23918,16903,2941.0
2020-05-07,24623,16612,3040.0
2020-05-08,25265,17119,3175.0
2020-05-09,25921,17730,3220.0
2020-05-10,26322,18126,3225.0
2020-05-11,26670,18443,3256.0
2020-05-12,27272,18988,3313.0
2020-05-13,27909,19478,3460.0
2020-05-14,28582,20082,3529.0
2020-05-15,29207,20590,3646.0
2020-05-16,29677,21032,3674.0
2020-05-17,30143,21493,3679.0
2020-05-18,30377,21708,3698.0
2020-05-19,30799,22085,3743.0
2020-05-20,31523,22721,3831.0
2020-05-21,32172,23330,3871.0
2020-05-22,32809,23913,3925.0
2020-05-23,33188,24225,3992.0
