date,cases,active,death
2020-03-10,1,0,0
2020-03-11,2,0,0
2020-03-12,3,0,0
2020-03-13,6,0,0
2020-03-14,10,0,0
2020-03-15,18,0,0
2020-03-16,28,0,0
2020-03-17,44,0,0
2020-03-18,51,0,0
2020-03-19,60,0,0
2020-03-20,73,0,0
2020-03-21,77,0,0
2020-03-22,82,0,0
2020-03-23,97,0,0
2020-03-24,102,0,0
2020-03-25,102.01,0,0
2020-03-26,106,0,0
2020-03-27,106.1,0,0
2020-03-28,113,0,0
2020-03-29,117,0,0
2020-03-30,122,0,0
2020-03-31,143,0,0
2020-04-01,146,0,0
2020-04-02,151,0,0
2020-04-03,159,0,0
2020-04-04,166,0,0
2020-04-05,176,0,0
2020-04-06,178,0,0
2020-04-07,185,0,0
2020-04-08,189,0,0
2020-04-09,190,0,0
2020-04-10,190.1,0,0
2020-04-11,198,0,0
2020-04-12,210,0,0
2020-04-13,217,0,0
2020-04-14,233,0,0
2020-04-15,238,0,0
2020-04-16,238.1,0,0
2020-04-17,244,0,0
2020-04-18,254,0,0
2020-04-19,271,0,0
2020-04-20,304,0,0
2020-04-21,310,0,0
2020-04-22,330,0,0
2020-04-23,368,0,0
2020-04-24,417,0,0
2020-04-25,452,0,0
2020-04-26,523,0,0
2020-04-27,588,0,0
2020-04-28,619,0,0
2020-04-29,649,0,0
2020-04-30,663,0,0
2020-05-01,690,0,0
2020-05-02,702,0,0
2020-05-03,718,527,7
2020-05-04,751,549,7
2020-05-05,771,549,7
2020-05-06,797,573,8
2020-05-07,823,582,9
2020-05-08,835,586,9
2020-05-09,847,578,9
2020-05-10,856,526,9
2020-05-11,863,511,9
2020-05-12,889,514,9
2020-05-13,893,502,9
2020-05-14,925,471,9
2020-05-15,935,449,9
2020-05-16,957,428,9
2020-05-17,981,434,9.0
2020-05-18,992,424,9.0
2020-05-19,1027,449,9.0
2020-05-20,1028,435,9.0
2020-05-21,1055,442,9.0
2020-05-22,1068,439,9.0
2020-05-23,1089,420,9.0
2020-05-24,1141,458,9.0
2020-05-25,1182,477,10.0
2020-05-26,1319,597,10.0
2020-05-27,1469,727,10.0
2020-05-28,1530,775,10.0
2020-05-29,1558,794,10.0
2020-05-30,1620,829,10.0
2020-05-31,1633,821,11.0
2020-06-01,1643,821,11.0
2020-06-02,1683,849,11.0
2020-06-03,1749,902,11.0
2020-06-04,1797,947,11.0
2020-06-05,1801,932,11.0
2020-06-06,1814,912,11.0
2020-06-07,1835,834,11.0
2020-06-08,1857,856,11.0
2020-06-09,1859,791,11.0
2020-06-10,1869,736,11.0
2020-06-11,1877,716,11.0
2020-06-12,1880,673,11.0
2020-06-13,1884,621,11.0
2020-06-14,1889,591,11.0
2020-06-15,1905,552,11.0
2020-06-16,1915,533,11.0
2020-06-17,1924,516,11.0
2020-06-18,1947,515,11.0
2020-06-19,1950,493,11.0
2020-06-20,1950.1,467,11.0
2020-06-21,1950.2,441,11.0
2020-06-22,1951,414,11.0
2020-06-23,1991,432,11.0
2020-06-24,2001,428,11.0
2020-06-25,2010,397,11.0
2020-06-26,2014,384,11.0
2020-06-27,2033,383,11.0
2020-06-28,2037,365,11.0
2020-06-29,2039,350,11.0
2020-06-30,2047,325,11.0
2020-07-01,2054,295,11.0
2020-07-02,2066,228,11.0
2020-07-03,2069,195,11.0
2020-07-04,2074,178,11.0
2020-07-05,2076,162,11.0
2020-07-06,2078,150,11.0
2020-07-07,2081,115,11.0
2020-07-08,2094,116,11.0
2020-07-09,2350,360,11.0
2020-07-10,2454,463,11.0
2020-07-11,2511,520,11.0
2020-07-12,2617,625,11.0
2020-07-13,2646,654,11.0
2020-07-14,2665,666,11.0
2020-07-15,2671,659,11.0
2020-07-16,2687,669,11.0
2020-07-17,2697,674,11.0
2020-07-18,2704,670,11.0
2020-07-19,2724,678,11.0
2020-07-20,2730,678,11.0
2020-07-21,2740,671,11.0
2020-07-22,2752,677,11.0
2020-07-23,2753,665,11.0
2020-07-24,2764,659,11.0
2020-07-25,2770,656,11.0
2020-07-26,2782,665,11.0
2020-07-27,2805,673,11.0
2020-07-28,2810,503,11.0
2020-07-29,2811,467,11.0
2020-07-30,2814,470,11.0
2020-07-31,2815,413,11.0
2020-08-01,2819,365,11.0
2020-08-02,2823,298,11.0
2020-08-03,2828,293,11.0
2020-08-04,2834,286,11.0
2020-08-05,2839,291,11.0
2020-08-06,2839.3,287,11.0
2020-08-07,2839.6,252,11.0
2020-08-08,2841,254,11.0
2020-08-09,2844,254,11.0
2020-08-10,2871,238,11.0
2020-08-11,2880,231,11.0
2020-08-12,2881,224,11.0
2020-08-13,2882,213,11.0
2020-08-14,2886,217,11.0
2020-08-15,2890,213,11.0
2020-08-16,2893,212,11.0
2020-08-17,2900,213,11.0
2020-08-18,2902,131,11.0
2020-08-19,2902.5,131,11.0
2020-08-20,2918,142,11.0
2020-08-21,2941,132,11.0
2020-08-22,2947,137,12.0
2020-08-23,2953,136,12.0
2020-08-24,2959,136,12.0
2020-08-25,2971,143,12.0
2020-08-26,2984,153,12.0
2020-08-27,2986,144,12.0
2020-08-28,2989,135,12.0
2020-08-29,2998,126,12.0
2020-08-30,3012,140,12.0
2020-08-31,3049,169,12.0
2020-09-01,3092,201,12.0
2020-09-02,3102,207,12.0
2020-09-03,3111,210,12.0
2020-09-04,3115,196,12.0
2020-09-05,3121,184,12.0
2020-09-06,3123,186,12.0
2020-09-07,3123.5,185,12.0
2020-09-08,3140,182,12.0
2020-09-09,3147,189,12.0
2020-09-10,3155,188,12.0
2020-09-11,3169,188,12.0
2020-09-12,3195,200,12.0
2020-09-13,3234,226,12.0
2020-09-14,3262,244,13.0
2020-09-15,3271,242,13.0
2020-09-16,3271.5,237,13.0
2020-09-17,3276,220,13.0
2020-09-18,3281,208,13.0
2020-09-19,3283,200,13.0
2020-09-20,3287,186,13.0
2020-09-21,3299,168,13.0
2020-09-22,3313,182,13.0
2020-09-23,3324,182,13.0
2020-09-24,3333,178,13.0
2020-09-25,3345,174,13.0
2020-09-26,3349,150,13.0
2020-09-27,3360,139,13.0
2020-09-28,3363,120,13.0
2020-09-29,3374,131,13.0
2020-09-30,3380,137,13.0
2020-10-01,3382,136,13.0
2020-10-02,3388,130,13.0
2020-10-03,3396,125,13.0
2020-10-04,3471,200,13.0
2020-10-05,3733,461,13.0
2020-10-06,4252,973,13.0
2020-10-07,4459,1172,13.0
2020-10-08,4488,1197,13.0
2020-10-09,4523,1214,13.0
2020-10-10,4628,1309,13.0
2020-10-11,4752,1432,13.0
2020-10-12,4844,1514,13.0
2020-10-13,5038,1697,13.0
2020-10-14,5170,1800,13.0
2020-10-15,5244,1851,13.0
2020-10-16,5354,1956,13.0
2020-10-17,5475,2067,13.0
2020-10-18,5538,2122,13.0
2020-10-19,5625,2172,13.0
2020-10-20,5811,2341,13.0
2020-10-21,5978,2464,13.0
2020-10-22,6287,2712,14.0
2020-10-23,7153,3494,15.0
2020-10-24,7521,3703,15.0
2020-10-25,7872,4053,16.0
2020-10-26,8413,4463,17.0
2020-10-27,8870,4808,19.0
2020-10-28,9205,5111,19.0
2020-10-29,9791,5630,19.0
2020-10-30,10561,6142,20.0
2020-10-31,10663,6244,20.0
2020-11-01,11060,5789,22.0
2020-11-02,11335,6065,21.0
2020-11-03,11744,6140,23.0
2020-11-04,12187,5540,24.0
2020-11-05,12570,5918,29.0
2020-11-06,12970,5754,30.0
2020-11-07,13419,5662,34.0
2020-11-08,13929,5609,35.0
2020-11-09,14285,5369,36.0
2020-11-10,14715,5137,41.0
2020-11-11,15350,5121,46.0
2020-11-12,15723,5022,48.0
2020-11-13,16191,5107,53.0
2020-11-14,16583,5206,53.0
2020-11-15,17287,5734,58.0
2020-11-16,17674,5807,61.0
2020-11-17,18075,5799,66.0
2020-11-18,18402,5746,69.0
2020-11-19,18841,5865,73.0
2020-11-20,19280,5935,74.0
2020-11-21,19771,6098,83.0
2020-11-22,20171,6015,87.0
2020-11-23,20508,5921,90.0
2020-11-24,20967,5911,94.0
2020-11-25,21469,5926,96.0
2020-11-26,22028,6113,99.0
2020-11-27,22501,6168,107.0
2020-11-28,22988,6223,109.0
2020-11-29,23484,6366,116.0
2020-11-30,23987,6309,118.0
2020-12-01,24532,6593,122.0
2020-12-02,25410,6982,124.0
2020-12-03,26038,6877,129.0
2020-12-04,26559,6991,130.0
2020-12-05,27228,7001,137.0
2020-12-06,27877,7277,140.0
2020-12-07,28580,7634,142.0
2020-12-08,29378,7978,142.0
2020-12-09,30072,8128,144.0
2020-12-10,30613,8206,146.0
2020-12-11,31375,8397,147.0
2020-12-12,32135,8682,149.0
2020-12-13,32790,8845,152.0
2020-12-14,33478,9015,154.0
2020-12-15,34121,9100,154.0
2020-12-16,34737,8925,160.0
2020-12-17,35387,8874,160.0
2020-12-18,36049,8823,165.0
2020-12-19,36667,8944,171.0
2020-12-20,37261,8818,176.0
2020-12-21,37631,8768,181.0
2020-12-22,38059,8576,183.0
2020-12-23,38639,8573,184.0
2020-12-24,39231,8478,185.0
2020-12-25,39782,8257,186.0
2020-12-26,40380,8142,187.0
2020-12-27,41054,8162,191.0
2020-12-28,41603,8188,194.0
2020-12-29,42056,7936,195.0
2020-12-30,42702,7880,199.0
2020-12-31,43299,7766,204.0
2021-01-01,43856,7493,208.0
2021-01-02,44371,7443,211.0
2021-01-03,44774,7309,213.0
2021-01-04,45242,7210,215.0
2021-01-05,45726,7247,217.0
2021-01-06,46248,7006,219.0
2021-01-07,46780,6897,222.0
2021-01-08,47305,6763,225.0
2021-01-09,47840,6773,229.0
2021-01-10,48380,6823,232.0
2021-01-11,48949,6618,240.0
2021-01-12,49537,6672,244.0
2021-01-13,50229,6715,247.0
2021-01-14,50899,6901,251.0
2021-01-15,51594,7080,255.0
2021-01-16,52313,7311,256.0
2021-01-17,53062,7627,264.0
2021-01-18,53750,7660,270.0
2021-01-19,54419,7552,273.0
2021-01-20,55189,7700,274.0
2021-01-21,56076,7816,276.0
2021-01-22,56863,7968,278.0
2021-01-23,57587,8046,280.0
2021-01-24,58430,8463,283.0
2021-01-25,59167,8543,287.0
2021-01-26,59922,8588,288.0
2021-01-27,60694,7838,290.0
2021-01-28,61586,6854,297.0
2021-01-29,62445,6742,305.0
2021-01-30,63293,6703,313.0
2021-01-31,64157,6682,316.0
2021-02-01,64983,6585,323.0
2021-02-02,65698,6325,330.0
2021-02-03,66409,6194,332.0
2021-02-04,67115,6209,339.0
2021-02-05,67850,6046,343.0
2021-02-06,68938,5186,351.0
2021-02-07,69348,5591,356.0
2021-02-08,70235,5729,365.0
2021-02-09,71211,5788,370.0
2021-02-10,72174,6155,375.0
2021-02-11,73116,6526,379.0
2021-02-12,74056,6688,384.0
2021-02-13,74852,5766,390.0
2021-02-14,75654,6561,397.0
2021-02-15,76428,6614,403.0
2021-02-16,77184,6346,409.0
2021-02-17,77906,6308,422.0
2021-02-18,78420,6167,430.0
2021-02-19,78937,5938,433.0
2021-02-20,79480,5589,435.0
2021-02-21,79999,5255,445.0
2021-02-22,80517,4957,450.0
2021-02-23,81009,4714,453.0
2021-02-24,81467,4496,457.0
2021-02-25,81933,4513,459.0
2021-02-26,82430,4341,464.0
2021-02-27,82890,4053,464.0
2021-02-28,83094,3683,464.0
2021-03-01,83552,3654,476.0
2021-03-02,83870,3367,483.0
2021-03-03,84226,3305,484.0
2021-03-04,84610,3285,489.0
2021-03-05,84960,3146,493.0
2021-03-06,85150,2888,493.0
2021-03-07,85695,3134,502.0
2021-03-08,86039,3019,507.0
2021-03-09,86343,3079,511.0
2021-03-10,86685,2964,511.0
2021-03-11,86989,2908,520.0
2021-03-12,87286,2803,525.0
2021-03-13,87600,2821,526.0
2021-03-14,87907,2732,527.0
2021-03-15,88238,2737,532.0
2021-03-16,88392,2891,532.0
2021-03-17,88862,2600,537.0
2021-03-18,89024,2543,537.0
2021-03-19,89497,2726,544.0
2021-03-20,89655,2645,544.0
2021-03-21,90200,2895,546.0
2021-03-22,90514,2905,551.0
2021-03-23,90765,2907,552.0
2021-03-24,91018,2836,552.0
2021-03-25,91289,2854,554.0
2021-03-26,91561,2859,557.0
2021-03-27,91839,2893,558.0
2021-03-28,92088,2904,561.0
2021-03-29,92303,2823,566.0
2021-03-30,92442,2786,566.0
2021-03-31,92706,2887,568.0
2021-04-01,92917,2939,571.0
2021-04-02,93128,2856,571.0
2021-04-03,93295,2699,575.0
2021-04-04,93436,2647,581.0
2021-04-05,93595,2451,581.0
2021-04-06,93690,2396,586.0
2021-04-07,93910,2405,588.0
2021-04-08,94253,2618,591.0
2021-04-09,94564,2699,593.0
2021-04-10,94848,2797,595.0
2021-04-11,95131,2902,598.0
2021-04-12,95394,3021,598.0
2021-04-13,95620,3092,602.0
2021-04-14,95719,2966,602.0
2021-04-15,95949,3033,608.0
2021-04-16,96186,2960,615.0
2021-04-17,96354,2907,615.0
2021-04-18,96796,3065,618.0
2021-04-19,97105,3111,620.0
2021-04-20,97472,3300,625.0
2021-04-21,98050,3752,630.0
2021-04-22,98722,4204,634.0
2021-04-23,99691,5017,638.0
2021-04-24,100586,5793,638.0
2021-04-25,101379,6426,642.0
2021-04-26,102376,7152,647.0
2021-04-27,103487,7976,655.0
2021-04-28,104953,9209,661.0
2021-04-29,106484,10378,661.0
2021-04-30,108146,11493,678.0
2021-05-01,109862,12697,687.0
2021-05-02,111753,13209,696.0
2021-05-03,113676,14758,709.0
2021-05-04,115590,15728,709.0
2021-05-05,117529,16720,734.0
2021-05-06,119424,17794,745.0
2021-05-07,121338,18811,764.0
2021-05-08,123234,19350,786.0
2021-05-09,125906,20642,801.0
2021-05-10,128530,22092,827.0
2021-05-11,131098,23607,850.0
2021-05-12,132527,24002,868.0
2021-05-13,135796,26102,892.0
2021-05-14,138085,27054,923.0
2021-05-15,140471,22310,941.0
2021-05-16,142746,23462,962.0
2021-05-17,145202,24592,981.0
2021-05-18,147720,25560,1015.0
2021-05-19,151343,27925,1051.0
2021-05-20,154786,30165,1089.0
2021-05-21,158333,31840,1133.0
2021-05-22,161242,33069,1178.0
2021-05-23,164201,34384,1210.0
2021-05-24,167172,25982,1243.0
2021-05-25,169900,27456,1269.0
