date,cases,active,death
2020-01-13,1
2020-01-17,2
2020-01-22,4
2020-01-25,5
2020-01-27,8
2020-01-28,14
2020-02-01,19
2020-02-05,25
2020-02-08,32
2020-02-12,33
2020-02-15,34
2020-02-18,35
2020-02-25,37
2020-02-26,40
2020-02-29,42
2020-03-02,43
2020-03-05,47
2020-03-07,50
2020-03-11,59
2020-03-12,70
2020-03-14,82
2020-03-16,114
2020-03-17,177
2020-03-20,212
2020-03-21,366
2020-03-22,599
2020-03-23,721
2020-03-24,827
2020-03-25,934
2020-03-26,1045
2020-03-27,1136
2020-03-29,1245
2020-03-30,1388
2020-03-31,1651
2020-04-01,1771
2020-04-02,1875
2020-04-03,1978
2020-04-04,2067,0
2020-04-05,2169,0
2020-04-06,2220,1401
2020-04-07,2258,1407
2020-04-08,2369,1451
2020-04-09,2423,1451
2020-04-10,2473,1427
2020-04-11,2518,1348
2020-04-12,2551,1295
2020-04-13,2579,1251
2020-04-14,2613,1167
2020-04-15,2643,1103
2020-04-16,2672,1033,46.0
2020-04-17,2700,964,47.0
2020-04-18,2733,899,47.0
2020-04-19,2765,790,47.0
2020-04-20,2766,790,47.0
2020-04-21,2811,655,48.0
2020-04-22,2826,425,49.0
2020-04-23,2839,359,50.0
2020-04-24,2854,314,50.0
2020-04-25,2907,309,51.0
2020-04-26,2931,270,52.0
2020-04-27,2938,232,54.0
2020-04-28,2947,228,54.0
2020-04-29,2954,216,54.0
2020-04-30,2960,187,54.0
2020-05-01,2966,180,54.0
2020-05-02,2969,176,54.0
2020-05-03,2987,193,54.0
2020-05-04,2988,187,54.0
2020-05-05,2989,173,55.0
2020-05-06,2992,165,55.0
2020-05-07,3000,161,55.0
2020-05-08,3004,161,56.0
2020-05-09,3009,159,56.0
2020-05-10,3015,163,56.0
2020-05-11,3017,163,56.0
2020-05-12,3017.1,163,56.0
2020-05-13,3017.2,117,56.0
2020-05-14,3018,112,56.0
2020-05-15,3025,114,56.0
2020-05-16,3028,116,56.0
2020-05-17,3031,118,56.0
2020-05-18,3033,120,56.0
2020-05-19,3034,90,56.0
2020-05-20,3037,84,56.0
2020-05-21,3037.1,84,56.0
2020-05-22,3040,68,56.0
2020-05-23,3040.1,68,56.0
2020-05-24,3042,57,57.0
2020-05-25,3042.1,57,57.0
2020-05-26,3054,66,57.0
2020-05-27,3065,63,57.0
2020-05-28,3076,74,57.0
2020-05-29,3077,59,57.0
2020-05-30,3081,61,57.0
2020-05-31,3082,60,57.0
2020-06-01,3083,59,58.0
2020-06-02,3084,58,58.0
2020-06-03,3101,75,58.0
2020-06-04,3102,73,58.0
2020-06-05,3104,75,58.0
2020-06-06,3112,82,58.0
2020-06-07,3119,88,58.0
2020-06-08,3121,90,58.0
2020-06-09,3125,86,58.0
2020-06-10,3125.5,80,58.0
2020-06-11,3129,84,58.0
2020-06-12,3134,89,58.0
2020-06-13,3135,90,58.0
2020-06-14,3135.1,90,58.0
2020-06-15,3135.2,84,58.0
2020-06-16,3135.3,81,58.0
2020-06-17,3141,86,58.0
2020-06-18,3146,80,58.0
2020-06-19,3147,71,58.0
2020-06-20,3148,72,58.0
2020-06-21,3151,71,58.0
2020-06-22,3156,75,58.0
2020-06-23,3157,73,58.0
2020-06-24,3158,62,58.0
2020-06-25,3162,64,58.0
2020-06-26,3162.1,51,58.0
2020-06-27,3162.2,51,58.0
2020-06-28,3169,58,58.0
2020-06-29,3171,57,58.0
2020-06-30,3173,56,58.0
2020-07-01,3179,62,58.0
2020-07-02,3180,56,58.0
2020-07-03,3185,61,58.0
2020-07-04,3190,61,58.0
2020-07-05,3195,65,58.0
2020-07-06,3195.5,65,58.0
2020-07-07,3197,65,58.0
2020-07-08,3202,59,58.0
2020-07-09,3202.5,57,58.0
2020-07-10,3216,70,58.0
2020-07-11,3217,71,58.0
2020-07-12,3220,72,58.0
2020-07-13,3227,78,58.0
2020-07-14,3232,82,58.0
2020-07-15,3236,83,58.0
2020-07-16,3239,85,58.0
2020-07-17,3246,92,58.0
2020-07-18,3249,95,58.0
2020-07-19,3250,96,58.0
2020-07-20,3255,92,58.0
2020-07-21,3261,98,58.0
2020-07-22,3269,106,58.0
2020-07-23,3279,114,58.0
2020-07-24,3282,115,58.0
2020-07-25,3291,124,58.0
2020-07-26,3295,126,58.0
2020-07-27,3297,128,58.0
2020-07-28,3298,129,58.0
2020-07-29,3304,135,58.0
2020-07-30,3310,127,58.0
2020-07-31,3312,119,58.0
2020-08-01,3317,117,58.0
2020-08-02,3320,120,58.0
2020-08-03,3321,121,58.0
2020-08-04,3328,128,58.0
2020-08-05,3330,124,58.0
2020-08-06,3345,139,58.0
2020-08-07,3348,140,58.0
2020-08-08,3351,142,58.0
2020-08-09,3351.2,133,58.0
2020-08-10,3351.6,130,58.0
2020-08-11,3356,129,58.0
2020-08-12,3359,132,58.0
2020-08-13,3376,145,58.0
2020-08-14,3376.5,125,58.0
2020-08-15,3377,125,58.0
2020-08-16,3378,126,58.0
2020-08-17,3381,125,58.0
2020-08-18,3382,125,58.0
2020-08-19,3389,113,58.0
2020-08-20,3390,113,58.0
2020-08-21,3390.5,112,58.0
2020-08-22,3395,116,58.0
2020-08-23,3397,117,58.0
2020-08-24,3402,115,58.0
2020-08-25,3403,108,58.0
2020-08-26,3404,109,58.0
2020-08-27,3410,115,58.0
2020-08-28,3411,111,58.0
2020-08-29,3411.5,101,58.0
2020-08-30,3412,102,58.0
2020-08-31,3417,85,58.0
2020-09-01,3425,93,58.0
2020-09-02,3427,92,58.0
2020-09-03,3431,96,58.0
2020-09-04,3438,101,58.0
2020-09-05,3444,105,58.0
2020-09-06,3445,106,58.0
2020-09-07,3446,104,58.0
2020-09-08,3447,103,58.0
2020-09-09,3454,86,58.0
2020-09-10,3461,91,58.0
2020-09-11,3466,96,58.0
2020-09-12,3473,103,58.0
2020-09-13,3475,105,58.0
2020-09-14,3480,107,58.0
2020-09-15,3490,116,58.0
2020-09-16,3490.5,107,58.0
2020-09-17,3497,111,58.0
2020-09-18,3500,103,59.0
2020-09-19,3506,107,59.0
2020-09-20,3506.5,105,59.0
2020-09-21,3511,109,59.0
2020-09-22,3514,110,59.0
2020-09-23,3516,104,59.0
2020-09-24,3519,100,59.0
2020-09-25,3522,101,59.0
2020-09-26,3523,97,59.0
2020-09-27,3545,117,59.0
2020-09-28,3559,130,59.0
2020-09-29,3564,131,59.0
2020-09-30,3569,131,59.0
2020-10-01,3575,132,59.0
2020-10-02,3583,138,59.0
2020-10-03,3585,138,59.0
2020-10-04,3590,141,59.0
2020-10-05,3600,151,59.0
2020-10-06,3615,165,59.0
2020-10-07,3622,124,59.0
2020-10-08,3628,128,59.0
2020-10-09,3634,130,59.0
2020-10-10,3636,126,59.0
2020-10-11,3641,128,59.0
2020-10-12,3643,127,59.0
2020-10-13,3652,136,59.0
2020-10-14,3665,143,59.0
2020-10-15,3669,143,59.0
2020-10-16,3679,142,59.0
2020-10-17,3686,146,59.0
2020-10-18,3691,144,59.0
2020-10-19,3700,150,59.0
2020-10-20,3709,155,59.0
2020-10-21,3719,146,59.0
2020-10-22,3727,150,59.0
2020-10-23,3731,143,59.0
2020-10-24,3736,147,59.0
2020-10-25,3743,141,59.0
2020-10-26,3746,136,59.0
2020-10-27,3759,139,59.0
2020-10-28,3763,134,59.0
2020-10-29,3775,131,59.0
2020-10-30,3780,131,59.0
2020-10-31,3784,133,59.0
2020-11-01,3787,133,59.0
2020-11-02,3797,133,59.0
2020-11-03,3804,133,59.0
2020-11-04,3810,128,59.0
