date,cases,active,death
2020-03-01,75,65,1
2020-03-02,100,85,1
2020-03-03,124,106,6
2020-03-04,158,138,9
2020-03-05,221,200,11
2020-03-06,319,289,12
2020-03-07,435,401,19
2020-03-08,541,504,22
2020-03-09,704,663,26
2020-03-10,994,949,30
2020-03-11,1301,1248,38
2020-03-12,1697,1581,41
2020-03-13,2247,2126,48
2020-03-14,2943,2664,57
2020-03-15,3680,3484,69
2020-03-16,4663,4434,87
2020-03-17,6411,6127,110
2020-03-18,9259,8940,150
2020-03-19,13789,13464,206
2020-03-20,19383,18965,255
2020-03-21,24207,23720,301
2020-03-22,35060,33000,414
2020-03-23,43734,42930,556
2020-03-24,54881,53697,781
2020-03-25,68211,66790,1028
2020-03-26,85435,82272,1296
2020-03-27,104256,100027,1697
2020-03-28,123776,118316,2222
2020-03-29,142637,135593,2592
2020-03-30,164266,155589,3150
2020-03-31,188592,177286,4064
2020-04-01,215300,201312,5114
2020-04-02,245373,228875,6088
2020-04-03,277475,257790,7139
2020-04-04,311635,288356,8469
2020-04-05,336830,309235,9636
2020-04-06,367629,336878,10895
2020-04-07,400540,365972,12868
2020-04-08,435160,397472,14811
2020-04-09,468895,426270,16712
2020-04-10,502876,456815,18747
2020-04-11,533088,482006,20577
2020-04-12,560433,505684,22105
2020-04-13,587155,526563,23640
2020-04-14,614246,549362,26047
2020-04-15,644348,567086,28554.0
2020-04-16,678210,585725,34641.0
2020-04-17,710272,609587,37175.0
2020-04-18,738923,631623,39015.0
2020-04-19,764265,652688,40565.0
2020-04-20,792938,678031,42518.0
2020-04-21,819175,690859,45343.0
2020-04-22,849092,717361,47681.0
2020-04-23,886709,750544,50243.0
2020-04-24,925758,763109,52217.0
2020-04-25,960896,788469,54265.0
2020-04-26,987322,813126,55415.0
2020-04-27,1010507,814542,56803.0
2020-04-28,1035765,834261,59266.0
2020-04-29,1064572,855492,61669.0
2020-04-30,1095304,875696,63871.0
2020-05-01,1131452,904113,65776.0
2020-05-02,1160838,919665,67448.0
2020-05-03,1188122,941261,68598.0
2020-05-04,1212900,954911,69921.0
2020-05-05,1237633,964734,72271.0
2020-05-06,1263183,975292,74807.0
2020-05-07,1292623,998445,76928.0
2020-05-08,1322163,1019798,78616.0
2020-05-09,1347309,1029194,80037.0
2020-05-10,1367638,1030515,80787.0
2020-05-11,1385834,1041814,81795.0
2020-05-12,1408636,1028465,83425.0
2020-05-13,1430348,1034892,85197.0
2020-05-14,1457593,1052654,86912.0
2020-05-15,1484285,1068027,88507.0
2020-05-16,1507773,1078428,90113.0
2020-05-17,1527664,1090297,90978.0
2020-05-18,1550294,1101930,91981.0
2020-05-19,1570583,1115870,93533.0
2020-05-20,1591991,1126921,94994.0
2020-05-21,1620902,1142379,96354.0
2020-05-22,1645094,1144246,97647.0
2020-05-23,1666828,1121231,98683.0
2020-05-24,1686436,1135434,99300.0
2020-05-25,1706226,1141751,99805.0
2020-05-26,1725275,1144734,100572.0
2020-05-27,1745803,1153566,102107.0
2020-05-28,1768461,1166406,103330.0
2020-05-29,1793530,1169419,104542.0
2020-05-30,1816820,1176025,105557.0
