date,cases,active,death
2020-03-15,10,,
2020-03-16,15,,
2020-03-17,33,,
2020-03-21,36,,
2020-03-24,84,,
2020-03-25,91,,
2020-03-26,106,,
2020-03-27,107,,
2020-03-28,119,,
2020-03-29,124,,
2020-03-30,129,,
2020-03-31,135,,
2020-04-01,138,,
2020-04-02,143,,
2020-04-03,144,,
2020-04-06,148,,
2020-04-07,159,,
2020-04-08,166,,
2020-04-09,167,,
2020-04-10,171,,
2020-04-11,175,,
2020-04-12,177,,
2020-04-13,181,,
2020-04-14,189,,
2020-04-15,193,,
2020-04-16,197,,
2020-04-17,204,,
2020-04-18,227,,
2020-04-19,241,,
2020-04-20,256,,
2020-04-21,270,,
2020-04-22,285,,
2020-04-23,288,,
2020-04-24,298,,
2020-04-25,318,,
2020-04-26,323,,
2020-04-27,325,,
2020-04-28,329,,
2020-04-29,330,,
2020-04-30,331,,
2020-05-01,333,,
2020-05-02,335,,
2020-05-03,345,,
2020-05-04,357,,
2020-05-05,361,,
2020-05-06,367,,
2020-05-07,379,,
2020-05-08,381,,
2020-05-09,388,,
2020-05-10,402,,
2020-05-11,414,,
2020-05-12,422,,
2020-05-13,423,,
2020-05-14,440,,
2020-05-15,455,,
2020-05-16,459,,
2020-05-17,504,,
2020-05-18,541,,
2020-05-19,618,,
2020-05-20,749,,
2020-05-21,824,,
2020-05-22,882,,
2020-05-23,944,,
2020-05-24,1028,,
2020-05-25,1121,,
2020-05-26,1177,,
2020-05-27,1211,,
2020-05-28,1245,,
2020-05-29,1327,,
2020-05-30,1369,,
2020-05-31,1459,,
2020-06-01,1510,,
2020-06-02,1662,,
2020-06-03,1819,,
2020-06-04,1952,,
2020-06-05,2087,,
2020-06-06,2145,,
2020-06-07,2316,,
2020-06-08,2377,,
2020-06-09,2473,,
2020-06-10,2632,,
2020-06-11,2738,,
2020-06-12,2814,,
2020-06-13,2879,,
2020-06-14,2904,,
2020-06-15,2978,,
2020-06-16,3062,,
2020-06-17,3150,,
2020-06-19,3484,,
2020-06-20,3591,,
2020-06-21,3790,,
2020-06-22,3918,,
2020-06-23,4048,,
2020-06-24,4186,,
2020-06-25,4365,,
2020-06-26,4563,,
2020-06-27,4779,,
2020-06-28,5130,,
2020-06-29,5297,,
2020-06-30,5530,,
2020-07-01,5832,,
2020-07-02,6062,,
2020-07-03,6273,,
2020-07-04,6537,,
2020-07-05,6750,,
2020-07-06,7169,,
2020-07-07,7411,,
2020-07-08,7693,,
2020-07-09,8010,,
2020-07-10,8372,,
2020-07-11,8803,,
2020-07-12,9178,,
2020-07-13,9465,,
2020-07-14,9707,,
2020-07-15,10010,,
2020-07-16,10428,,
2020-07-17,10854,,
2020-07-18,11191,,
2020-07-19,11483,,
2020-07-20,11891,,
2020-07-21,12334,,
2020-07-22,12774,,
2020-07-23,13186,,
2020-07-24,13613,,
2020-07-25,14263,,
2020-07-26,14850,,
2020-07-27,15463,,
2020-07-28,15988,,
2020-07-29,16571,,
2020-07-30,17202,,
2020-07-31,17859,,
2020-08-01,18574,,
2020-08-02,19443,,
2020-08-03,20206,,
2020-08-04,20812,,
2020-08-05,21438,,
2020-08-06,22299,,
2020-08-07,23280,,
2020-08-08,24166,,
2020-08-09,24972,,
2020-08-10,25805,,
2020-08-11,26850,,
2020-08-12,27938,,
2020-08-13,29088,,
2020-08-14,30369,,
2020-08-15,31381,,
2020-08-16,32607,,
2020-08-17,33755,,
2020-08-18,34802,,
2020-08-19,35697,,
2020-08-20,36868,,
2020-08-21,37567,,
2020-08-22,38188,,
2020-08-23,38957,,
2020-08-24,39564,,
2020-08-25,40338,,
2020-08-26,41158,,
2020-08-27,42018,,
2020-08-28,42898,,
2020-08-29,43879,,
2020-08-30,44946,,
2020-08-31,45868,,
2020-09-01,46802,,
2020-09-02,47756,,
2020-09-03,48883,,
2020-09-04,49877,,
2020-09-05,50973,,
2020-09-06,52165,,
2020-09-07,53289,,
2020-09-08,54350,,
2020-09-09,55563,,
2020-09-10,56751,,
2020-09-11,57823,,
2020-09-12,58663,,
2020-09-13,59630,,
2020-09-14,60540,,
2020-09-15,61569,,
2020-09-16,62655,,
2020-09-17,63416,,
2020-09-18,64284,,
2020-09-19,65174,,
2020-09-20,65949,,
2020-09-21,66656,,
2020-09-22,67443,,
2020-09-23,68453,,
2020-09-24,69439,,
2020-09-25,70406,,
2020-09-26,71273,,
2020-09-27,71940,,
2020-09-28,72691,,
2020-09-29,73528,,
2020-09-30,74363,,
2020-10-01,75122,,
2020-10-02,76029,,
2020-10-03,76820,,
2020-10-04,77622,,
2020-10-05,78434,,
2020-10-06,79117,,
2020-10-07,79796,,
2020-10-08,80404,,
2020-10-09,81019,,
2020-10-10,81696,,
2020-10-11,82453,,
2020-10-12,83137,,
2020-10-13,83756,,
2020-10-14,84391,,
2020-10-15,85005,,
2020-10-16,85469,,
2020-10-17,85613,,
2020-10-18,85758,,
2020-10-19,86636,,
2020-10-20,87138,,
2020-10-21,87644,,
2020-10-22,88035,,
2020-10-23,88416,,
2020-10-24,88718,,
2020-10-25,89142,,
2020-10-26,89565,,
2020-10-27,90047,,
2020-10-28,90400,,
2020-10-29,90876,,
2020-10-30,91280,,
2020-10-31,91589,,
2020-11-01,92013,,
2020-11-02,92325,,
2020-11-03,92705,,
2020-11-04,93100,,
2020-11-05,93509,,
2020-11-06,93921,,
2020-11-07,94305,,
2020-11-08,94593,,
2020-11-09,94883,,
2020-11-10,95163,,
2020-11-11,95445,,
2020-11-12,95791,,
2020-11-13,96140,,
2020-11-14,96290,,
2020-11-15,96441,,
2020-11-16,97352,,
2020-11-17,97739,,
2020-11-18,98050,,
2020-11-19,98350,,
2020-11-20,98665,,
2020-11-21,98840,,
2020-11-22,99017,,
2020-11-23,99835,,
2020-11-24,100143,,
2020-11-25,100498,,
2020-11-26,100817,,
2020-11-27,101015,,
2020-11-28,101215,,
2020-11-29,101524,,
2020-11-30,102040,,
2020-12-01,102394,,
2020-12-02,102621,,
2020-12-03,103067,,
2020-12-04,103471,,
2020-12-05,103877,,
2020-12-06,104442,4029,919.0
2020-12-07,104904,3998,924.0
2020-12-08,105384,3980,928.0
2020-12-09,105852,3967,933.0
2020-12-10,106280,3958,938.0
2020-12-11,106715,3948,944.0
2020-12-12,107177,3939,949.0
2020-12-13,107786,4543,954.0
2020-12-14,108125,4128,960.0
2020-12-15,108480,4244,965.0
2020-12-16,108717,4255,970.0
2020-12-17,109081,4365,975.0
2020-12-18,109395,4441,979.0
2020-12-19,109781,4589,984.0
2020-12-20,110075,4625,988.0
2020-12-21,110513,4721,993.0
2020-12-22,110828,5032,997.0
2020-12-23,111024,4773,1002.0
2020-12-24,111245,4760,1006.0
2020-12-25,111603,4789,1010.0
2020-12-26,111951,4833,1013.0
2020-12-27,112316,4849,1014.0
2020-12-28,112636,4881,1018.0
2020-12-29,112861,4882,1021.0
2020-12-30,113121,4893,1025.0
2020-12-31,113558,4947,1028.0
2021-01-01,113884,4953,1030.0
2021-01-02,114083,4965,1032.0
2021-01-03,114230,4928,1034.0
2021-01-04,114407,4901,1038.0
2021-01-05,114662,4888,1042.0
2021-01-06,114908,4895,1047.0
2021-01-07,115322,4906,1052.0
2021-01-08,115667,4927,1056.0
2021-01-09,116172,4985,1061.0
2021-01-10,116610,5423,1061.0
2021-01-11,116983,5037,1073.0
2021-01-12,117299,5046,1078.0
2021-01-13,117811,5111,1084.0
2021-01-14,118415,5326,1090.0
2021-01-15,118856,5441,1095.0
2021-01-16,119306,5583,1101.0
2021-01-17,119803,5695,1106.0
2021-01-18,120444,6004,1112.0
2021-01-19,121117,6349,1116.0
2021-01-20,121691,6587,1122.0
2021-01-21,122260,6832,1129.0
2021-01-22,122795,6734,1136.0
2021-01-23,123245,6677,1142.0
2021-01-24,123709,7135,1148.0
2021-01-25,124112,6593,1154.0
2021-01-26,124525,6581,1159.0
2021-01-27,124958,6678,1165.0
2021-01-28,125364,6746,1171.0
2021-01-29,125776,6732,1177.0
